hour,day,t_db_C,t_wb_C,w_oa_kgkg,rh,ghi_Wm2,occ,q_total_kW,q_sensible_kW,q_latent_kW,q_oa_kW,shr
0,0,24.7,23.95,0.01853,0.94,0.0,0.05,1014.57,582.53,432.04,342.02,0.574
1,0,24.7,23.95,0.01853,0.94,0.0,0.05,985.15,553.1,432.04,342.02,0.561
2,0,24.4,23.65,0.01819,0.94,0.0,0.05,932.71,517.8,414.91,323.71,0.555
3,0,24.2,23.58,0.01818,0.95,0.0,0.05,903.53,489.0,414.52,320.2,0.541
4,0,24.1,23.61,0.01827,0.96,0.0,0.05,885.12,466.36,418.76,321.94,0.527
5,0,24.1,23.61,0.01827,0.96,0.0,0.05,868.3,449.54,418.76,321.94,0.518
6,0,24.0,23.51,0.01815,0.96,0.0,0.05,844.77,431.7,413.08,315.86,0.511
7,0,24.2,23.45,0.01799,0.94,0.0,0.05,830.17,425.6,404.58,312.36,0.513
8,0,24.3,23.3,0.01768,0.92,18.0,0.05,830.42,441.13,389.29,301.91,0.531
9,0,25.5,23.67,0.01776,0.86,152.0,0.15,1201.35,746.42,454.93,364.2,0.621
10,0,26.8,23.93,0.0176,0.79,318.0,0.15,1443.08,997.26,445.82,380.24,0.691
11,0,28.0,24.15,0.01744,0.73,464.0,0.15,1657.88,1220.75,437.13,394.81,0.736
12,0,26.8,23.93,0.0176,0.79,571.0,0.15,1758.04,1312.22,445.82,380.24,0.746
13,0,25.5,23.67,0.01776,0.86,630.0,0.15,1793.36,1338.44,454.93,364.2,0.746
14,0,24.3,23.3,0.01768,0.92,637.0,0.15,1751.92,1301.19,450.73,339.23,0.743
15,0,25.4,23.71,0.01788,0.87,589.0,0.15,1734.9,1273.26,461.64,367.82,0.734
16,0,26.5,23.93,0.01776,0.81,493.0,0.05,1473.09,1079.72,393.37,340.35,0.733
17,0,27.6,24.38,0.01804,0.77,354.0,0.05,1342.59,935.32,407.27,368.91,0.697
18,0,27.1,24.21,0.01795,0.79,190.0,0.05,1110.27,707.34,402.92,357.48,0.637
19,0,26.6,24.03,0.01787,0.81,40.0,0.05,896.0,497.17,398.83,346.25,0.555
20,0,26.1,23.97,0.018,0.84,0.0,0.05,833.18,427.97,405.21,343.28,0.514
21,0,25.8,23.82,0.01787,0.85,0.0,0.05,815.29,416.53,398.77,333.4,0.511
22,0,25.6,23.77,0.01787,0.86,0.0,0.05,807.01,408.39,398.61,330.07,0.506
23,0,25.3,23.62,0.01774,0.87,0.0,0.05,788.97,397.06,391.9,319.98,0.503
24,1,25.1,23.69,0.01793,0.89,0.0,0.05,790.96,389.03,401.93,324.68,0.492
25,1,24.8,23.66,0.01803,0.91,0.0,0.05,784.69,377.79,406.9,323.8,0.481
26,1,24.6,23.72,0.01822,0.93,0.0,0.05,785.95,369.83,416.12,327.86,0.471
27,1,24.6,23.72,0.01822,0.93,0.0,0.05,784.62,368.5,416.12,327.86,0.47
28,1,24.6,23.85,0.01844,0.94,0.0,0.05,794.6,367.35,427.25,336.64,0.462
29,1,24.6,23.85,0.01844,0.94,0.0,0.05,793.6,366.35,427.25,336.64,0.462
30,1,24.8,24.04,0.01864,0.94,0.0,0.05,809.87,372.05,437.82,348.17,0.459
31,1,25.0,24.11,0.01867,0.93,0.0,0.05,817.01,377.99,439.02,352.32,0.463
32,1,25.2,24.31,0.0189,0.93,18.0,0.525,1666.25,895.37,770.88,578.8,0.537
33,1,25.9,24.33,0.01863,0.88,151.0,1.0,2655.35,1590.01,1065.34,794.34,0.599
34,1,26.7,24.55,0.01865,0.84,316.0,1.0,2909.85,1843.17,1066.68,823.38,0.633
35,1,27.4,24.64,0.0185,0.8,463.0,1.0,3120.94,2068.55,1052.39,835.03,0.663
